id.exposure,id.outcome,outcome,exposure,method,nsnp,b,se,pval,gene,pval.fdr,log.pval.fdr,chr,snp_pos_gmean,OR,CI_lower,CI_upper
15472_16_LRP11,ieu-b-18,multiple sclerosis || id:ieu-b-18,15472_16_LRP11,Inverse variance weighted,11,0.013292308,0.02890621,0.645629177,LRP11,0.981493025,0.008112782,6,149825049,1.013381043,0.957562904,1.072452926
15475_4_PLTP,ieu-b-18,multiple sclerosis || id:ieu-b-18,15475_4_PLTP,Inverse variance weighted,14,0.079353754,0.070054496,0.257322109,PLTP,0.886168581,0.052483652,20,45902231.96,1.082587224,0.943694246,1.241922479
15476_6_REG3G,ieu-b-18,multiple sclerosis || id:ieu-b-18,15476_6_REG3G,Inverse variance weighted,9,-0.020922604,0.044703533,0.639762979,REG3G,0.977462801,0.009899762,2,79059527.16,0.979294755,0.897141637,1.068970804
15480_2_VNN2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15480_2_VNN2,Inverse variance weighted,11,-0.047918421,0.065818719,0.466591321,VNN2,0.967772715,0.014226627,6,132740901.5,0.953211545,0.837844203,1.084464447
15482_12_A2ML1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15482_12_A2ML1,Inverse variance weighted,2,-0.110402193,0.075618287,0.144291913,A2ML1,0.769556868,0.113759282,12,8951238.075,0.89547391,0.772120977,1.038533528
15486_126_AOC1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15486_126_AOC1,Inverse variance weighted,15,0.009645264,0.031888718,0.762296584,AOC1,0.993478776,0.002841407,7,150860529.1,1.009691929,0.948515999,1.074813492
15495_9_FOLR3,ieu-b-18,multiple sclerosis || id:ieu-b-18,15495_9_FOLR3,Inverse variance weighted,8,-0.088016278,0.050265259,0.07993971,FOLR3,0.698584534,0.155781033,11,72241767.58,0.91574597,0.829828533,1.010558987
15499_11_ATRN,ieu-b-18,multiple sclerosis || id:ieu-b-18,15499_11_ATRN,Inverse variance weighted,10,-0.062157726,0.058930197,0.291531132,ATRN,0.890498002,0.05036705,20,3573515.591,0.939734654,0.837226269,1.054793971
15503_15_LEFTY2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15503_15_LEFTY2,Inverse variance weighted,2,0.021093324,0.093919058,0.822297891,LEFTY2,0.998431193,0.000681859,1,225929762.2,1.021317361,0.849601358,1.227739505
15503_20_LEFTY2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15503_20_LEFTY2,Inverse variance weighted,9,-0.054026889,0.027435217,0.048924025,LEFTY2,0.606026629,0.217508292,1,225942947.2,0.947406632,0.897807217,0.999746169
15509_2_NAGLU,ieu-b-18,multiple sclerosis || id:ieu-b-18,15509_2_NAGLU,Inverse variance weighted,5,0.023724832,0.052622372,0.65209717,NAGLU,0.984902148,0.006606915,17,42586884.14,1.024008505,0.923656512,1.135263384
15511_37_NPTXR,ieu-b-18,multiple sclerosis || id:ieu-b-18,15511_37_NPTXR,Inverse variance weighted,6,-0.028868599,0.059950101,0.630130071,NPTXR,0.977196122,0.010018265,22,38951335.05,0.971544118,0.863837335,1.092680225
15514_26_BCHE,ieu-b-18,multiple sclerosis || id:ieu-b-18,15514_26_BCHE,Inverse variance weighted,5,0.018269036,0.045913316,0.690701856,BCHE,0.993478776,0.002841407,3,165777537.8,1.018436935,0.930790492,1.114336471
15515_2_SAA1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15515_2_SAA1,Inverse variance weighted,9,-0.022245185,0.035567605,0.531686331,SAA1,0.977196122,0.010018265,11,18344519.05,0.978000415,0.912143742,1.048611932
15516_12_SAA4,ieu-b-18,multiple sclerosis || id:ieu-b-18,15516_12_SAA4,Inverse variance weighted,15,0.027831996,0.029254984,0.341422114,SAA4,0.911860098,0.040071788,11,18254157.06,1.028222924,0.97092333,1.088904086
15521_4_CLSTN1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15521_4_CLSTN1,Inverse variance weighted,5,-0.206359492,0.21207435,0.330527174,CLSTN1,0.908752515,0.041554374,1,9546524.965,0.813540563,0.536856086,1.232822472
15522_2_GLIPR2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15522_2_GLIPR2,Inverse variance weighted,4,-0.033868181,0.075048456,0.651784745,GLIPR2,0.984902148,0.006606915,9,36146796.86,0.966698926,0.834466105,1.119885885
15523_9_ALAD,ieu-b-18,multiple sclerosis || id:ieu-b-18,15523_9_ALAD,Inverse variance weighted,13,-0.07241498,0.069678924,0.298680758,ALAD,0.902352122,0.044623956,9,113406878.5,0.930144824,0.811406861,1.066258415
15525_294_ADH1C,ieu-b-18,multiple sclerosis || id:ieu-b-18,15525_294_ADH1C,Inverse variance weighted,2,-0.1012779,0.109203446,0.353706421,ADH1C,0.91472166,0.038711037,4,99462414.26,0.903681865,0.72955782,1.119364211
15533_97_MSR1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15533_97_MSR1,Inverse variance weighted,6,-0.044488976,0.086793855,0.608243686,MSR1,0.977196122,0.010018265,8,16217202.15,0.956486145,0.806860142,1.133859139
15540_6_VIM,ieu-b-18,multiple sclerosis || id:ieu-b-18,15540_6_VIM,Inverse variance weighted,4,-0.023230685,0.209776023,0.911822193,VIM,0.998431193,0.000681859,10,17034318.9,0.97703707,0.647658525,1.473927077
15544_25_KLK14,ieu-b-18,multiple sclerosis || id:ieu-b-18,15544_25_KLK14,Inverse variance weighted,14,-0.087880752,0.050327639,0.080780935,KLK14,0.698584534,0.155781033,19,51091334.89,0.915870086,0.829839539,1.010819532
15556_49_AMY2B,ieu-b-18,multiple sclerosis || id:ieu-b-18,15556_49_AMY2B,Inverse variance weighted,6,-0.029061819,0.112895486,0.796852768,AMY2B,0.993478776,0.002841407,1,103593365.8,0.971356415,0.778538395,1.211929034
15558_63_ENPEP,ieu-b-18,multiple sclerosis || id:ieu-b-18,15558_63_ENPEP,Inverse variance weighted,13,-0.092226266,0.051155774,0.071411532,ENPEP,0.679885003,0.167564538,4,110449745.6,0.911898795,0.824901262,1.008071451
15559_5_ANTXR2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15559_5_ANTXR2,Inverse variance weighted,6,-0.051159163,0.108694835,0.637877956,ANTXR2,0.977302673,0.009970914,4,80059172.69,0.950127434,0.767819163,1.175722337
15560_52_TCN2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15560_52_TCN2,Inverse variance weighted,11,-0.004369837,0.018420553,0.812481334,TCN2,0.998431193,0.000681859,22,30599019.91,0.995639697,0.960334017,1.032243353
15562_24_GUSB,ieu-b-18,multiple sclerosis || id:ieu-b-18,15562_24_GUSB,Inverse variance weighted,2,-0.034432144,0.126291629,0.785129998,GUSB,0.993478776,0.002841407,7,65864512.01,0.966153897,0.754301037,1.237507715
15565_102_MUC16,ieu-b-18,multiple sclerosis || id:ieu-b-18,15565_102_MUC16,Inverse variance weighted,2,-0.066503348,0.297840904,0.823313854,MUC16,0.998431193,0.000681859,19,8874158.608,0.935659784,0.521904051,1.677433294
15566_10_CNN1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15566_10_CNN1,Inverse variance weighted,2,-0.00099341,0.119357978,0.993359326,CNN1,0.998431193,0.000681859,19,11532576.67,0.999007083,0.790622201,1.262316124
15570_99_CR2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15570_99_CR2,Inverse variance weighted,6,0.035834313,0.110631401,0.746008257,CR2,0.993478776,0.002841407,1,207520047,1.0364841,0.834432661,1.287460738
15576_158_RNASE3,ieu-b-18,multiple sclerosis || id:ieu-b-18,15576_158_RNASE3,Inverse variance weighted,10,-0.090950784,0.121613944,0.45454173,RNASE3,0.964143158,0.015858476,14,20888506.38,0.913062647,0.719417002,1.158831936
15582_25_FCN1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15582_25_FCN1,Inverse variance weighted,11,-3.12E-05,0.040930918,0.99939199,FCN1,0.999562461,0.000190062,9,134943982.5,0.99996881,0.922880252,1.083496606
15583_18_FCRLB,ieu-b-18,multiple sclerosis || id:ieu-b-18,15583_18_FCRLB,Inverse variance weighted,9,0.038447792,0.079850385,0.630162677,FCRLB,0.977196122,0.010018265,1,161756992.5,1.039196473,0.888643655,1.215255747
15584_9_CFHR2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15584_9_CFHR2,Inverse variance weighted,5,-0.042790156,0.028444019,0.132487683,CFHR2,0.769556868,0.113759282,1,196949356.8,0.958112423,0.906159053,1.013044467
15585_304_FBLN5,ieu-b-18,multiple sclerosis || id:ieu-b-18,15585_304_FBLN5,Inverse variance weighted,3,0.39399964,0.154983505,0.011015595,FBLN5,0.302142037,0.519788847,14,91939095.99,1.482900015,1.09442813,2.009261636
15587_20_FOLR2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15587_20_FOLR2,Inverse variance weighted,2,-0.008406826,0.184879238,0.963731105,FOLR2,0.998431193,0.000681859,11,72119133.84,0.991628413,0.690202579,1.424693183
15589_1_GC,ieu-b-18,multiple sclerosis || id:ieu-b-18,15589_1_GC,Inverse variance weighted,2,-0.143047137,0.160332013,0.372289369,GC,0.920337668,0.036052802,4,71688172.61,0.866713214,0.632991754,1.186732354
15594_47_HTRA1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15594_47_HTRA1,Inverse variance weighted,3,0.180870431,0.251265524,0.471624845,HTRA1,0.967772715,0.014226627,10,122517662.5,1.198259912,0.73226706,1.960796674
15602_43_IL6R,ieu-b-18,multiple sclerosis || id:ieu-b-18,15602_43_IL6R,Inverse variance weighted,10,-0.037966893,0.025590011,0.137898964,IL6R,0.769556868,0.113759282,1,154521447.1,0.962744814,0.915647957,1.012264124
15614_168_LILRA2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15614_168_LILRA2,Inverse variance weighted,15,-0.03761045,0.069177911,0.586663655,LILRA2,0.977196122,0.010018265,19,54549182.3,0.963088039,0.840970114,1.102938802
15615_8_LILRB3,ieu-b-18,multiple sclerosis || id:ieu-b-18,15615_8_LILRB3,Inverse variance weighted,26,-0.023346205,0.022995988,0.309996459,LILRB3,0.902817555,0.044400005,19,54196375.29,0.976924209,0.933869715,1.021963659
15620_4_NLGN1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15620_4_NLGN1,Inverse variance weighted,2,0.144263605,0.134141453,0.282169372,NLGN1,0.889636358,0.050787476,3,173466378.5,1.155188582,0.888115353,1.502575826
15622_13_OPCML,ieu-b-18,multiple sclerosis || id:ieu-b-18,15622_13_OPCML,Inverse variance weighted,3,-0.040351738,0.144462952,0.779997423,OPCML,0.993478776,0.002841407,11,132333845.3,0.960451553,0.723612592,1.27480809
15626_223_HSPG2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15626_223_HSPG2,Inverse variance weighted,7,-0.008163289,0.06011665,0.891986651,HSPG2,0.998431193,0.000681859,1,21964795.06,0.99186994,0.881621968,1.115904565
15635_4_SMOC2,ieu-b-18,multiple sclerosis || id:ieu-b-18,15635_4_SMOC2,Inverse variance weighted,13,0.075548616,0.046503922,0.104255413,SMOC2,0.729061051,0.137236103,6,168448093.4,1.078475657,0.984521963,1.181395425
15636_49_SORCS1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15636_49_SORCS1,Inverse variance weighted,2,0.604525669,0.216221419,0.005176119,SORCS1,0.198762955,0.701664555,10,107058639.3,1.830383795,1.198093673,2.796363016
15640_54_TAGLN,ieu-b-18,multiple sclerosis || id:ieu-b-18,15640_54_TAGLN,Inverse variance weighted,2,0.370680749,0.176149778,0.035347946,TAGLN,0.54947895,0.260048941,11,117117101.4,1.448720493,1.025753212,2.046097486
15644_1_BTD,ieu-b-18,multiple sclerosis || id:ieu-b-18,15644_1_BTD,Inverse variance weighted,7,-0.037513647,0.069326343,0.588427097,BTD,0.977196122,0.010018265,3,15638268.37,0.963181273,0.840806878,1.103366527
15653_9_COL10A1,ieu-b-18,multiple sclerosis || id:ieu-b-18,15653_9_COL10A1,Inverse variance weighted,4,0.139271157,0.091669937,0.128695175,COL10A1,0.769556868,0.113759282,6,116054278,1.149435735,0.960403357,1.375674606
15686_49_INHBC,ieu-b-18,multiple sclerosis || id:ieu-b-18,15686_49_INHBC,Inverse variance weighted,12,0.042342532,0.052434835,0.419363072,INHBC,0.947267174,0.023527512,12,57335061.97,1.043251764,0.941359902,1.156172301
16035_8_FLT4,ieu-b-18,multiple sclerosis || id:ieu-b-18,16035_8_FLT4,Inverse variance weighted,2,0.243615785,0.407463164,0.549917208,FLT4,0.977196122,0.010018265,5,180629644.8,1.275854034,0.574065363,2.835571733
16055_3_CFHR5,ieu-b-18,multiple sclerosis || id:ieu-b-18,16055_3_CFHR5,Inverse variance weighted,4,0.022687598,0.055697543,0.683761445,CFHR5,0.993478776,0.002841407,1,197001121.4,1.022946919,0.917154271,1.140942621
16057_6_IGF2R,ieu-b-18,multiple sclerosis || id:ieu-b-18,16057_6_IGF2R,Inverse variance weighted,18,0.004639484,0.034796203,0.893929993,IGF2R,0.998431193,0.000681859,6,159959430.5,1.004650263,0.938416805,1.075558478
16060_99_NID2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16060_99_NID2,Inverse variance weighted,17,-0.049751929,0.04800782,0.300048366,NID2,0.902495347,0.044555028,14,52039341.21,0.951465426,0.866020017,1.045341262
16079_2_TEC,ieu-b-18,multiple sclerosis || id:ieu-b-18,16079_2_TEC,Inverse variance weighted,2,-0.364764743,0.220052413,0.097392848,TEC,0.729061051,0.137236103,4,48260943.33,0.694359984,0.451099441,1.068801564
16288_17_EPHA4,ieu-b-18,multiple sclerosis || id:ieu-b-18,16288_17_EPHA4,Inverse variance weighted,5,-0.157427044,0.127485965,0.216883418,EPHA4,0.835617716,0.077992361,2,221489656.8,0.854339141,0.665444836,1.096853305
16296_43_LGR5,ieu-b-18,multiple sclerosis || id:ieu-b-18,16296_43_LGR5,Inverse variance weighted,2,-0.014447233,0.453992581,0.974613508,LGR5,0.998431193,0.000681859,12,71537566.99,0.985656627,0.404836218,2.399782783
16300_4_TREM2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16300_4_TREM2,Inverse variance weighted,6,-0.016863736,0.101998933,0.868682301,TREM2,0.998431193,0.000681859,6,41145352.72,0.983277661,0.80510575,1.200879461
16307_22_UNC5D,ieu-b-18,multiple sclerosis || id:ieu-b-18,16307_22_UNC5D,Inverse variance weighted,3,-0.046470279,0.140783628,0.741337265,UNC5D,0.993478776,0.002841407,8,35604461.15,0.954592932,0.724403885,1.257927634
16318_12_ACVRL1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16318_12_ACVRL1,Inverse variance weighted,2,0.026179303,0.08197808,0.749464796,ACVRL1,0.993478776,0.002841407,12,51807069.79,1.026524991,0.87415486,1.205454096
16323_8_NRXN3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16323_8_NRXN3,Inverse variance weighted,5,0.021836797,0.121427856,0.857283278,NRXN3,0.998431193,0.000681859,14,79481721.22,1.022076965,0.805604944,1.296716623
16558_2_MYOC,ieu-b-18,multiple sclerosis || id:ieu-b-18,16558_2_MYOC,Inverse variance weighted,11,0.089969669,0.038824993,0.020486677,MYOC,0.415369919,0.381564958,1,171533025.9,1.094141097,1.013969355,1.180651796
16561_9_A1BG,ieu-b-18,multiple sclerosis || id:ieu-b-18,16561_9_A1BG,Inverse variance weighted,5,-0.06177616,0.049195973,0.209219031,A1BG,0.828248534,0.081839324,19,58143688.32,0.940093293,0.853678801,1.03525518
16583_8_NUDT2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16583_8_NUDT2,Inverse variance weighted,3,-0.01614226,0.086694706,0.852290584,NUDT2,0.998431193,0.000681859,9,34267852.08,0.983987328,0.830220556,1.166233544
16594_44_FAIM,ieu-b-18,multiple sclerosis || id:ieu-b-18,16594_44_FAIM,Inverse variance weighted,4,-0.095135566,0.057520476,0.098139177,FAIM,0.729061051,0.137236103,3,138537646.8,0.909249663,0.812308001,1.017760442
16605_2_C1QTNF9,ieu-b-18,multiple sclerosis || id:ieu-b-18,16605_2_C1QTNF9,Inverse variance weighted,2,0.059565658,0.085313741,0.485055025,C1QTNF9,0.973425835,0.011697132,13,24456709.9,1.061375447,0.897942473,1.254554576
16607_78_GSN,ieu-b-18,multiple sclerosis || id:ieu-b-18,16607_78_GSN,Inverse variance weighted,2,-0.043996932,0.343412397,0.89805646,GSN,0.998431193,0.000681859,9,121379796.7,0.956956893,0.488173096,1.875905292
16609_106_KIRREL2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16609_106_KIRREL2,Inverse variance weighted,11,0.021101355,0.053361164,0.69251521,KIRREL2,0.993478776,0.002841407,19,35751570.68,1.021325562,0.91990348,1.13392973
16610_13_LRP10,ieu-b-18,multiple sclerosis || id:ieu-b-18,16610_13_LRP10,Inverse variance weighted,2,-0.295670515,0.238755949,0.215575313,LRP10,0.835617716,0.077992361,14,22823563.16,0.744032536,0.465970862,1.18802367
16613_3_CDH17,ieu-b-18,multiple sclerosis || id:ieu-b-18,16613_3_CDH17,Inverse variance weighted,7,-0.041383786,0.052896414,0.434005843,CDH17,0.959911089,0.017768991,8,94227839.63,0.959460832,0.864969738,1.064274329
16614_27_RSPO1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16614_27_RSPO1,Inverse variance weighted,2,-0.038410729,0.102590806,0.70810144,RSPO1,0.993478776,0.002841407,1,37711982.47,0.962317608,0.787030159,1.176645097
16616_137_ENO3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16616_137_ENO3,Inverse variance weighted,5,-0.145923747,0.053072844,0.005968639,ENO3,0.208359761,0.681186149,17,4937300.469,0.8642236,0.778842433,0.958964739
16620_26_LY75,ieu-b-18,multiple sclerosis || id:ieu-b-18,16620_26_LY75,Inverse variance weighted,7,0.065441174,0.033707764,0.052206467,LY75,0.618689612,0.208527176,2,159840655.3,1.067629932,0.999374153,1.14054748
16621_77_APOA1BP,ieu-b-18,multiple sclerosis || id:ieu-b-18,16621_77_APOA1BP,Inverse variance weighted,2,0.072048979,0.108465815,0.506527004,APOA1BP,0.977196122,0.010018265,1,156441068.2,1.074707981,0.868885417,1.329286028
16753_46_COL6A2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16753_46_COL6A2,Inverse variance weighted,4,0.051905828,0.183944829,0.777804342,COL6A2,0.993478776,0.002841407,21,46144442.46,1.053276549,0.734455378,1.510495424
16763_11_LECT2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16763_11_LECT2,Inverse variance weighted,14,0.007554125,0.041572976,0.855812215,LECT2,0.998431193,0.000681859,5,135915048.6,1.007582729,0.928737718,1.093121273
16770_3_REG1B,ieu-b-18,multiple sclerosis || id:ieu-b-18,16770_3_REG1B,Inverse variance weighted,6,-0.021235419,0.077152403,0.783131939,REG1B,0.993478776,0.002841407,2,79105371.32,0.978988465,0.841596892,1.138809355
16773_29_SCUBE3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16773_29_SCUBE3,Inverse variance weighted,2,-0.050267161,0.098494059,0.609801172,SCUBE3,0.977196122,0.010018265,6,35364636.76,0.950975327,0.784024102,1.153477386
16781_2_ENGASE,ieu-b-18,multiple sclerosis || id:ieu-b-18,16781_2_ENGASE,Inverse variance weighted,13,0.016176442,0.033648754,0.630698336,ENGASE,0.977196122,0.010018265,17,79070140.63,1.016307989,0.951443365,1.085594758
16792_4_SIGLEC5,ieu-b-18,multiple sclerosis || id:ieu-b-18,16792_4_SIGLEC5,Inverse variance weighted,17,0.006680797,0.025329573,0.791968858,SIGLEC5,0.993478776,0.002841407,19,51563005.7,1.006703163,0.957944758,1.057943321
16809_1_NME4,ieu-b-18,multiple sclerosis || id:ieu-b-18,16809_1_NME4,Inverse variance weighted,3,0.00280097,0.114380723,0.980463254,NME4,0.998431193,0.000681859,16,447709.3405,1.002804896,0.801407881,1.254813789
16818_200_CDCP1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16818_200_CDCP1,Inverse variance weighted,5,-0.005221545,0.064137349,0.935114366,CDCP1,0.998431193,0.000681859,3,45182328.7,0.994792064,0.877278524,1.12804682
16823_75_APOL3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16823_75_APOL3,Inverse variance weighted,10,-0.016923168,0.031755312,0.594086187,APOL3,0.977196122,0.010018265,22,36164130.06,0.983219225,0.923888783,1.046359758
16825_20_ATXN3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16825_20_ATXN3,Inverse variance weighted,8,0.197973415,0.059941719,0.000957366,ATXN3,0.058046587,1.23622331,14,92143302.5,1.218929988,1.083815457,1.370888656
16828_8_COL6A1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16828_8_COL6A1,Inverse variance weighted,16,0.020728511,0.024356088,0.394735605,COL6A1,0.940720759,0.026539272,21,45941068.39,1.020944838,0.973352071,1.07086469
16853_5_NRK1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16853_5_NRK1,Inverse variance weighted,5,0.026522685,0.117764309,0.821809403,NRK1,0.998431193,0.000681859,9,74938574.17,1.026877542,0.815221551,1.293485782
16872_248_GSTZ1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16872_248_GSTZ1,Inverse variance weighted,15,0.025584207,0.031352143,0.41448449,GSTZ1,0.943648483,0.025189754,14,77246387.9,1.025914291,0.964769569,1.090934215
16882_27_PHPT1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16882_27_PHPT1,Inverse variance weighted,2,-0.087640109,0.089130109,0.325468241,PHPT1,0.902817555,0.044400005,9,136842968.7,0.91609051,0.769253187,1.090956577
16890_37_ADAMTSL1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16890_37_ADAMTSL1,Inverse variance weighted,15,-0.040713935,0.044621333,0.361541311,ADAMTSL1,0.91472166,0.038711037,9,18576034.28,0.960103742,0.879702279,1.047853595
16892_23_ENPP2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16892_23_ENPP2,Inverse variance weighted,3,0.145544259,0.092640752,0.116168513,ENPP2,0.758928934,0.119798889,8,119656729.8,1.156668927,0.964609798,1.386968088
16900_29_MDGA1,ieu-b-18,multiple sclerosis || id:ieu-b-18,16900_29_MDGA1,Inverse variance weighted,18,-0.031887203,0.023027395,0.166128685,MDGA1,0.773278821,0.111663884,6,37672999.37,0.968615833,0.925870506,1.013334614
16913_8_RNASET2,ieu-b-18,multiple sclerosis || id:ieu-b-18,16913_8_RNASET2,Inverse variance weighted,12,0.04499302,0.038875179,0.24712066,RNASET2,0.875947693,0.057521827,6,166909615.8,1.046020558,0.969279438,1.128837532
16914_104_CD14,ieu-b-18,multiple sclerosis || id:ieu-b-18,16914_104_CD14,Inverse variance weighted,3,-0.031749679,0.104114279,0.76040402,CD14,0.993478776,0.002841407,5,140510130.9,0.96874905,0.78992785,1.188051189
16915_153_SEMA4A,ieu-b-18,multiple sclerosis || id:ieu-b-18,16915_153_SEMA4A,Inverse variance weighted,3,-0.180725298,0.099379436,0.068981917,SEMA4A,0.670509189,0.173595266,1,156019170,0.834664611,0.686939543,1.01415768
16916_19_SLITRK6,ieu-b-18,multiple sclerosis || id:ieu-b-18,16916_19_SLITRK6,Inverse variance weighted,4,-0.120301798,0.082922515,0.146842906,SLITRK6,0.770087598,0.113459871,13,85664980.42,0.886652807,0.753647952,1.043130545
16918_198_TLR3,ieu-b-18,multiple sclerosis || id:ieu-b-18,16918_198_TLR3,Inverse variance weighted,17,-0.034477023,0.030962572,0.26549098,TLR3,0.886168581,0.052483652,4,186083904.7,0.966110537,0.909224115,1.02655611
16919_1_DBI,ieu-b-18,multiple sclerosis || id:ieu-b-18,16919_1_DBI,Inverse variance weighted,3,0.014639295,0.074749799,0.844732323,DBI,0.998431193,0.000681859,2,119381168.7,1.014746974,0.876454654,1.174859893
17138_8_GSTA1,ieu-b-18,multiple sclerosis || id:ieu-b-18,17138_8_GSTA1,Inverse variance weighted,9,-0.045923943,0.058823861,0.434977411,GSTA1,0.959950149,0.017751319,6,52845761.53,0.955114602,0.851105904,1.071833598
17140_57_PDGFD,ieu-b-18,multiple sclerosis || id:ieu-b-18,17140_57_PDGFD,Inverse variance weighted,9,0.021353542,0.043379278,0.622541119,PDGFD,0.977196122,0.010018265,11,104016208.4,1.02158316,0.93831474,1.112241031
17148_7_BLVRB,ieu-b-18,multiple sclerosis || id:ieu-b-18,17148_7_BLVRB,Inverse variance weighted,2,-0.150736612,0.373332645,0.686389561,BLVRB,0.993478776,0.002841407,19,40337225.46,0.860074202,0.413760243,1.787817087
17153_46_KIR2DL3,ieu-b-18,multiple sclerosis || id:ieu-b-18,17153_46_KIR2DL3,Inverse variance weighted,13,-0.147782944,0.075316922,0.049745263,KIR2DL3,0.607082941,0.216751971,19,54696005.71,0.862618331,0.744230774,0.999838237
17156_72_DCLK1,ieu-b-18,multiple sclerosis || id:ieu-b-18,17156_72_DCLK1,Inverse variance weighted,3,0.120134764,0.080253481,0.134408489,DCLK1,0.769556868,0.113759282,13,36001834.15,1.127648807,0.963519975,1.319735828
17161_1_DDOST,ieu-b-18,multiple sclerosis || id:ieu-b-18,17161_1_DDOST,Inverse variance weighted,2,0.338853672,0.457235519,0.458637544,DDOST,0.964143158,0.015858476,1,20668442.9,1.403337983,0.572737407,3.43849986
17164_15_ANXA4,ieu-b-18,multiple sclerosis || id:ieu-b-18,17164_15_ANXA4,Inverse variance weighted,3,-0.062057491,0.064741534,0.337789433,ANXA4,0.911860098,0.040071788,2,69615398.33,0.939828853,0.827827154,1.066983935
17210_2_TCL1A,ieu-b-18,multiple sclerosis || id:ieu-b-18,17210_2_TCL1A,Inverse variance weighted,4,-0.325678435,0.279279859,0.243559265,TCL1A,0.871367308,0.059798738,14,95872340.36,0.722037332,0.41766861,1.248209456
17224_12_OGN,ieu-b-18,multiple sclerosis || id:ieu-b-18,17224_12_OGN,Inverse variance weighted,3,-0.052267187,0.071815699,0.466738402,OGN,0.967772715,0.014226627,9,92462472.22,0.949075253,0.824460574,1.092525057
17231_1_LCP1,ieu-b-18,multiple sclerosis || id:ieu-b-18,17231_1_LCP1,Inverse variance weighted,3,0.28278719,0.151444061,0.061863674,LCP1,0.652129767,0.185665976,13,46015045.26,1.326822771,0.986054975,1.785355492
17325_10_GUK1,ieu-b-18,multiple sclerosis || id:ieu-b-18,17325_10_GUK1,Inverse variance weighted,2,-0.197241112,0.119138943,0.097811903,GUK1,0.729061051,0.137236103,1,228080189,0.820992658,0.650019159,1.036937042
17329_2_BDH2,ieu-b-18,multiple sclerosis || id:ieu-b-18,17329_2_BDH2,Inverse variance weighted,2,0.008525634,0.081527128,0.916713691,BDH2,0.998431193,0.000681859,4,103148068.6,1.008562081,0.859617688,1.183313798
17331_138_KREMEN1,ieu-b-18,multiple sclerosis || id:ieu-b-18,17331_138_KREMEN1,Inverse variance weighted,6,-0.009979145,0.086470974,0.908124466,KREMEN1,0.998431193,0.000681859,22,29053630.78,0.990070482,0.835719496,1.172928911
17333_20_ACADM,ieu-b-18,multiple sclerosis || id:ieu-b-18,17333_20_ACADM,Inverse variance weighted,2,-0.1150486,0.076830016,0.134277924,ACADM,0.769556868,0.113759282,1,75708663.2,0.891322825,0.766718599,1.036177262
17341_89_ACAT2,ieu-b-18,multiple sclerosis || id:ieu-b-18,17341_89_ACAT2,Inverse variance weighted,5,0.012905279,0.05715033,0.821346976,ACAT2,0.998431193,0.000681859,6,159839157.9,1.012988912,0.905643655,1.133057721
17343_6_SNPH,ieu-b-18,multiple sclerosis || id:ieu-b-18,17343_6_SNPH,Inverse variance weighted,3,-0.109413123,0.217181027,0.614410596,SNPH,0.977196122,0.010018265,20,1368281.55,0.896360034,0.585617791,1.371989245
